Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Longtitude,Regionname,Propertycount
2,0,1035000,1,23,2.5,3067,1,0,156,79,1900,31,144.9934,2,4019
3,0,1465000,3,23,2.5,3067,2,0,134,150,1900,31,144.9944,2,4019
4,0,1600000,4,155,2.5,3067,1,2,120,142,2014,31,144.9941,2,4019
3,0,1876000,1,155,2.5,3067,2,0,245,210,1910,31,144.9993,2,4019
2,0,1636000,1,155,2.5,3067,1,2,256,107,1890,31,144.9954,2,4019
2,0,1097000,1,23,2.5,3067,1,2,220,75,1900,31,144.9989,2,4019
3,0,1350000,4,155,2.5,3067,2,2,214,190,2005,31,144.9964,2,4019
2,2,750000,1,23,2.5,3067,2,1,0,94,2009,31,144.9965,2,4019
2,0,1310000,1,106,2.5,3067,1,2,238,97,1890,31,144.9976,2,4019
3,0,1200000,1,106,2.5,3067,2,1,113,110,1880,31,144.993,2,4019
3,0,1176500,1,117,2.5,3067,1,1,138,105,1890,31,144.9965,2,4019
2,0,890000,1,23,2.5,3067,1,1,150,73,1985,31,145.0004,2,4019
4,0,1330000,0,111,2.5,3067,2,2,780,135,1900,31,144.9952,2,4019
2,2,500000,1,49,2.5,3067,1,1,0,60,1970,31,144.9972,2,4019
2,0,1100000,0,23,2.5,3067,2,1,124,135,2013,31,144.9977,2,4019
2,0,1315000,1,135,2.5,3067,1,0,147,85,1900,31,144.994,2,4019
3,0,1447500,0,155,2.5,3067,3,1,166,174,2012,31,145.0001,2,4019
2,0,1135000,1,155,2.5,3067,2,2,98,128,1920,31,144.9952,2,4019
3,0,1290000,1,23,2.5,3067,1,1,168,124,1950,31,144.9958,2,4019
1,2,470000,1,155,2.5,3067,1,1,0,50,2013,31,144.9961,2,4019
2,0,1180000,1,106,2.5,3067,1,0,162,91,1900,31,144.9956,2,4019
3,0,1195000,3,106,2.5,3067,2,1,120,128,1998,31,144.9954,2,4019
2,0,1012500,1,155,2.5,3067,1,0,182,82,1900,31,144.9976,2,4019
2,0,1030000,1,23,2.5,3067,1,1,172,81,1930,31,144.9946,2,4019
3,1,840000,0,155,13.5,3042,2,1,303,225,2016,21,144.878,6,3464
3,0,730000,4,155,13.5,3042,2,1,0,145,1965,21,144.8755,6,3464
3,0,770000,3,155,13.5,3042,2,1,0,145,1965,21,144.8755,6,3464
2,0,603000,1,155,13.5,3042,1,1,272,84,1950,21,144.888,6,3464
3,1,700000,1,28,13.5,3042,2,2,239,134,2009,21,144.8837,6,3464
3,0,600000,1,133,13.5,3042,1,1,290,116,1980,21,144.8744,6,3464
2,2,500000,4,16,13.5,3042,1,1,168,86,2011,21,144.8864,6,3464
6,0,725000,3,16,13.5,3042,3,2,976,186,1980,21,144.8735,6,3464
2,1,450000,1,16,13.5,3042,1,1,110,90,2015,21,144.871,6,3464
2,2,515000,1,16,13.5,3042,1,1,141,73,2013,21,144.8883,6,3464
2,2,530000,1,155,13.5,3042,1,1,120,94,2012,21,144.8792,6,3464
3,0,895000,0,204,13.5,3042,1,6,1063,133,1975,21,144.8728,6,3464
3,0,805000,1,155,13.5,3042,1,1,0,105,1950,21,144.8783,6,3464
3,2,752000,1,155,13.5,3042,1,1,265,130,1993,21,144.8855,6,3464
3,1,700000,0,28,13.5,3042,2,2,165,133,2009,21,144.887,6,3464
3,0,830000,1,16,13.5,3042,1,2,971,113,1960,21,144.876,6,3464
2,0,675000,1,16,13.5,3042,1,1,612,100,1975,21,144.8765,6,3464
3,0,1042000,1,155,13.5,3042,2,5,612,174,1950,21,144.8796,6,3464
4,0,773000,1,28,13.5,3042,3,4,531,309,1980,21,144.8679,6,3464
3,0,810000,0,16,13.5,3042,3,2,555,192,1980,21,144.8694,6,3464
3,0,715000,1,204,13.5,3042,2,2,422,126,1995,21,144.8792,6,3464
3,1,540000,3,155,13.5,3042,2,1,161,101,2010,21,144.8802,6,3464
3,1,825000,3,16,13.5,3042,2,1,293,102,1960,21,144.8776,6,3464
3,0,685000,1,16,13.5,3042,1,1,579,113,1975,21,144.8733,6,3464
4,0,900000,1,90,13.5,3042,2,3,628,146,1975,21,144.8739,6,3464
2,0,1275000,1,260,3.3,3206,1,0,120,82,1900,25,144.9555,5,3280
3,0,2850000,0,32,3.3,3206,2,0,211,198,1890,25,144.9499,5,3280
3,0,1850000,1,85,3.3,3206,2,0,128,133,1890,25,144.9488,5,3280
2,0,1436000,1,192,3.3,3206,1,0,130,81,1900,25,144.9565,5,3280
4,0,2300000,1,135,3.3,3206,2,1,153,180,1880,25,144.9523,5,3280
3,0,1800000,4,85,3.3,3206,2,1,132,159,1996,25,144.952,5,3280
2,0,2120000,1,85,3.3,3206,1,1,199,107,1900,25,144.9554,5,3280
3,0,1800000,1,135,3.3,3206,2,1,90,122,1900,25,144.9571,5,3280
3,0,2615000,1,41,3.3,3206,2,1,177,181,1880,25,144.9585,5,3280
3,0,1370000,1,85,3.3,3206,2,2,0,85,2000,25,144.9511,5,3280
2,0,1322500,1,85,3.3,3206,1,0,149,98,1890,25,144.9481,5,3280
2,0,1562500,1,85,3.3,3206,1,0,141,83,1890,25,144.9562,5,3280
3,0,2000000,4,192,3.3,3206,2,1,211,147,1900,25,144.9575,5,3280
3,0,3010000,1,85,3.3,3206,2,0,147,146,1890,25,144.9551,5,3280
4,0,2800000,4,41,3.3,3206,3,1,327,254,1910,25,144.9475,5,3280
3,0,2100000,3,135,3.3,3206,1,1,120,123,1900,25,144.9546,5,3280
3,0,2000000,0,135,3.3,3206,1,1,238,131,1890,25,144.9528,5,3280
1,2,442500,1,135,3.3,3206,1,0,0,34,1970,25,144.9517,5,3280
4,0,4735000,1,135,3.3,3206,2,1,330,207,1910,25,144.9558,5,3280
4,0,2140000,1,85,3.3,3206,2,1,183,145,1880,25,144.9495,5,3280
2,0,980000,1,85,3.3,3206,1,0,79,68,1890,25,144.9519,5,3280
3,0,1740000,0,135,3.3,3206,2,2,147,134,1890,25,144.9453,5,3280
1,0,985000,1,135,3.3,3206,1,0,81,54,1900,25,144.9497,5,3280
4,0,2000000,1,27,6.4,3078,2,4,853,263,1930,6,145.0318,2,2211
4,0,1717500,1,49,6.4,3078,2,1,599,203,1925,6,145.031,2,2211
5,0,2840000,1,155,6.4,3078,4,4,809,165,1910,6,145.0268,2,2211
2,2,525500,1,146,6.4,3078,1,1,88,60,1960,6,145.0306,2,2211
2,1,805000,1,146,6.4,3078,2,3,155,140,2004,6,145.0308,2,2211
4,0,1830000,1,155,6.4,3078,2,2,606,112,1970,6,145.0316,2,2211
